
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-04 16:17:41 /images/logo-sidebar.png ............................................................. ~ 0.33ms
  2026-04-04 16:17:41 /js/pwa.js .......................................................................... ~ 20.15ms
  2026-04-04 16:17:41 /manifest.json ...................................................................... ~ 48.77ms
  2026-04-04 16:20:56 /internal/api-keys ....................................................................... ~ 3s
  2026-04-04 16:20:57 /css/app.css ............................................................................. ~ 2s
  2026-04-04 16:20:59 /js/pwa.js ......................................................................... ~ 215.75ms
  2026-04-04 16:20:59 /images/logo-sidebar.png ........................................................... ~ 484.05ms
  2026-04-04 16:20:59 /manifest.json ..................................................................... ~ 589.91ms
  2026-04-04 16:21:16 /internal/tickets ........................................................................ ~ 1s
  2026-04-04 16:21:16 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:21:18 /images/logo-sidebar.png ............................................................ ~ 32.12ms
  2026-04-04 16:21:18 /js/pwa.js .......................................................................... ~ 51.50ms
  2026-04-04 16:21:18 /manifest.json ...................................................................... ~ 79.66ms
  2026-04-04 16:21:30 /internal/api-keys ................................................................... ~ 1.36ms
  2026-04-04 16:21:30 /login ............................................................................. ~ 536.90ms
  2026-04-04 16:21:31 /css/app.css ......................................................................... ~ 1.46ms
  2026-04-04 16:21:31 /images/logo-auth.png ................................................................ ~ 0.39ms
  2026-04-04 16:21:31 /js/pwa.js .......................................................................... ~ 25.29ms
  2026-04-04 16:21:31 /manifest.json ...................................................................... ~ 56.41ms
  2026-04-04 16:21:34 /admin/login ....................................................................... ~ 557.88ms
  2026-04-04 16:21:34 /css/app.css ......................................................................... ~ 0.33ms
  2026-04-04 16:21:34 /js/pwa.js .......................................................................... ~ 91.92ms
  2026-04-04 16:21:34 /manifest.json ..................................................................... ~ 125.67ms
  2026-04-04 16:22:57 /admin/login ....................................................................... ~ 508.63ms
  2026-04-04 16:22:58 /admin ................................................................................... ~ 1s
  2026-04-04 16:22:59 /css/app.css ......................................................................... ~ 0.25ms
  2026-04-04 16:22:59 /images/logo-sidebar.png ............................................................ ~ 31.12ms
  2026-04-04 16:22:59 /js/pwa.js .......................................................................... ~ 51.97ms
  2026-04-04 16:23:06 /internal/feature-flags .................................................................. ~ 1s
  2026-04-04 16:23:06 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:23:07 /images/logo-sidebar.png ............................................................. ~ 0.24ms
  2026-04-04 16:23:07 /js/pwa.js .......................................................................... ~ 21.26ms
  2026-04-04 16:23:07 /manifest.json ...................................................................... ~ 52.89ms
  2026-04-04 17:07:58 /logout ............................................................................ ~ 514.22ms
  2026-04-04 17:07:58 /login ............................................................................... ~ 0.33ms
  2026-04-04 17:07:59 /css/app.css ......................................................................... ~ 0.32ms
  2026-04-04 17:07:59 /images/logo-auth.png ............................................................... ~ 28.39ms
  2026-04-04 17:07:59 /js/pwa.js .......................................................................... ~ 48.51ms
  2026-04-04 17:07:59 /manifest.json ....................................................................... ~ 0.18ms
  2026-04-04 17:08:00 /admin/login ....................................................................... ~ 512.39ms
  2026-04-04 17:08:00 /css/app.css ......................................................................... ~ 0.20ms
  2026-04-04 17:08:00 /js/pwa.js ........................................................................... ~ 0.38ms
