
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-04-04 16:13:24 /offline ........................................................................... ~ 550.05ms
  2026-04-04 16:13:25 /b2b/dashboard ..................................................................... ~ 503.23ms
  2026-04-04 16:13:25 /css/app.css ....................................................................... ~ 567.55ms
  2026-04-04 16:13:25 /internal/reports ................................................................... ~ 33.80ms
  2026-04-04 16:13:25 /manifest.json ..................................................................... ~ 597.10ms
  2026-04-04 16:13:25 ..................................................................................... ~ 58.66ms
  2026-04-04 16:25:08 / .................................................................................. ~ 504.16ms
  2026-04-04 16:25:08 /login ............................................................................... ~ 0.27ms
  2026-04-04 16:25:09 / .................................................................................. ~ 516.38ms
  2026-04-04 16:25:09 /login ............................................................................... ~ 1.16ms
  2026-04-04 16:25:18 /admin/login ....................................................................... ~ 503.00ms
  2026-04-04 16:25:18 /css/app.css ......................................................................... ~ 0.21ms
  2026-04-04 16:25:18 /js/pwa.js .......................................................................... ~ 26.93ms
  2026-04-04 16:25:21 /sw.js ............................................................................... ~ 0.37ms
  2026-04-04 16:25:21 / .................................................................................... ~ 0.39ms
  2026-04-04 16:25:21 /offline ........................................................................... ~ 554.79ms
  2026-04-04 16:25:22 /admin/login ......................................................................... ~ 0.35ms
  2026-04-04 16:25:22 /login ............................................................................. ~ 537.41ms
  2026-04-04 16:25:22 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:25:22 /internal .......................................................................... ~ 575.15ms
  2026-04-04 16:25:23 /css/app.css ........................................................................ ~ 28.34ms
  2026-04-04 16:25:23 /images/logo-sidebar.png ............................................................ ~ 32.84ms
  2026-04-04 16:25:23 /js/pwa.js .......................................................................... ~ 56.22ms
  2026-04-04 16:25:23 /sw.js ............................................................................... ~ 0.75ms
  2026-04-04 16:25:23 / .................................................................................... ~ 0.27ms
  2026-04-04 16:25:23 /offline ............................................................................ ~ 43.73ms
  2026-04-04 16:25:23 /css/app.css ........................................................................ ~ 33.50ms
  2026-04-04 16:25:24 /manifest.json ...................................................................... ~ 30.46ms
  2026-04-04 16:25:24 /internal/reports .................................................................. ~ 562.19ms
  2026-04-04 16:25:24 /css/app.css ....................................................................... ~ 588.80ms
  2026-04-04 16:25:24 /images/logo-sidebar.png ............................................................ ~ 27.57ms
  2026-04-04 16:25:24 /js/pwa.js .......................................................................... ~ 50.57ms
  2026-04-04 16:25:24 /sw.js ............................................................................... ~ 0.34ms
  2026-04-04 16:25:24 / .................................................................................. ~ 504.09ms
  2026-04-04 16:25:24 /offline ........................................................................... ~ 547.49ms
  2026-04-04 16:25:24 /css/app.css ........................................................................ ~ 32.64ms
  2026-04-04 16:25:25 /manifest.json ...................................................................... ~ 28.57ms
  2026-04-04 16:25:25 ..................................................................................... ~ 55.40ms
  2026-04-04 16:25:25 ..................................................................................... ~ 92.85ms
  2026-04-04 16:25:25 /admin/login ....................................................................... ~ 512.73ms
  2026-04-04 16:25:25 /css/app.css ......................................................................... ~ 0.29ms
  2026-04-04 16:25:25 /js/pwa.js .......................................................................... ~ 28.28ms
  2026-04-04 16:25:26 /sw.js ............................................................................... ~ 0.71ms
  2026-04-04 16:25:26 / .................................................................................... ~ 0.36ms
  2026-04-04 16:25:26 /offline ........................................................................... ~ 550.75ms
